"race_m","income","income_q"
"White",8300,11.26
"White",8300,11.27
"White",8300,11.28
"White",8400,11.29
"White",8400,11.3
"White",8400,11.31
"White",8400,11.32
"White",8400,11.33
"White",8500,11.34
"White",8500,11.35
"White",8500,11.36
"White",8500,11.37
"White",8500,11.38
"White",8500,11.39
"White",8500,11.4
"White",8580,11.41
"White",8600,11.42
"White",8600,11.43
"White",8600,11.44
"White",8700,11.45
"White",8700,11.46
"White",8700,11.47
"White",8800,11.48
"White",8800,11.49
"White",8800,11.5
"White",8800,11.51
"White",8900,11.52
"White",8900,11.53
"White",8900,11.54
"White",9000,11.55
"White",9000,11.56
"White",9000,11.57
"White",9000,11.58
"White",9000,11.59
"White",9000,11.6
"White",9000,11.61
"White",9000,11.62
"White",9000,11.63
"White",9000,11.64
"White",9000,11.65
"White",9000,11.66
"White",9000,11.67
"White",9000,11.68
"White",9000,11.69
"White",9000,11.7
"White",9000,11.71
"White",9000,11.72
"White",9000,11.73
"White",9000,11.74
"White",9000,11.75
"White",9000,11.76
"White",9000,11.77
"White",9000,11.78
"White",9000,11.79
"White",9000,11.8
"White",9000,11.81
"White",9100,11.82
"White",9100,11.83
"White",9100,11.84
"White",9190,11.85
"White",9200,11.86
"White",9200,11.87
"White",9200,11.88
"White",9300,11.89
"White",9300,11.9
"White",9300,11.91
"White",9300,11.92
"White",9300,11.93
"White",9400,11.94
"White",9400,11.95
"White",9400,11.96
"White",9420,11.97
"White",9500,11.98
"White",9500,11.99
"White",9500,12
"White",9500,12.01
"White",9500,12.02
"White",9600,12.03
"White",9600,12.04
"White",9600,12.05
"White",9600,12.06
"White",9600,12.07
"White",9600,12.08
"White",9600,12.09
"White",9600,12.1
"White",9600,12.11
"White",9700,12.12
"White",9700,12.13
"White",9700,12.14
"White",9800,12.15
"White",9800,12.16
"White",9800,12.17
"White",9900,12.18
"White",9900,12.19
"White",9950,12.2
"White",10000,12.21
"White",10000,12.22
"White",10000,12.23
"White",10000,12.24
"White",10000,12.25
"White",10000,12.26
"White",10000,12.27
"White",10000,12.28
"White",10000,12.29
"White",10000,12.3
"White",10000,12.31
"White",10000,12.32
"White",10000,12.33
"White",10000,12.34
"White",10000,12.35
"White",10000,12.36
"White",10000,12.37
"White",10000,12.38
"White",10000,12.39
"White",10000,12.4
"White",10000,12.41
"White",10000,12.42
"White",10000,12.43
