"class_f","income","income_q"
"Reserve Army",2000,35.66
"Reserve Army",2000,35.67
"Reserve Army",2000,35.68
"Reserve Army",2000,35.69
"Reserve Army",2000,35.7
"Reserve Army",2000,35.71
"Reserve Army",2000,35.72
"Reserve Army",2000,35.73
"Reserve Army",2000,35.74
"Reserve Army",2000,35.75
"Reserve Army",2000,35.76
"Reserve Army",2000,35.77
"Reserve Army",2000,35.78
"Reserve Army",2000,35.79
"Reserve Army",2000,35.8
"Reserve Army",2000,35.81
"Reserve Army",2000,35.82
"Reserve Army",2000,35.83
"Reserve Army",2000,35.84
"Reserve Army",2000,35.85
"Reserve Army",2000,35.86
"Reserve Army",2000,35.87
"Reserve Army",2000,35.88
"Reserve Army",2000,35.89
"Reserve Army",2000,35.9
"Reserve Army",2000,35.91
"Reserve Army",2000,35.92
"Reserve Army",2000,35.93
"Reserve Army",2000,35.94
"Reserve Army",2000,35.95
"Reserve Army",2000,35.96
"Reserve Army",2000,35.97
"Reserve Army",2000,35.98
"Reserve Army",2000,35.99
"Reserve Army",2000,36
"Reserve Army",2000,36.01
"Reserve Army",2000,36.02
"Reserve Army",2000,36.03
"Reserve Army",2000,36.04
"Reserve Army",2000,36.05
"Reserve Army",2000,36.06
"Reserve Army",2000,36.07
"Reserve Army",2000,36.08
"Reserve Army",2000,36.09
"Reserve Army",2000,36.1
"Reserve Army",2000,36.11
"Reserve Army",2000,36.12
"Reserve Army",2000,36.13
"Reserve Army",2000,36.14
"Reserve Army",2000,36.15
"Reserve Army",2000,36.16
"Reserve Army",2000,36.17
"Reserve Army",2000,36.18
"Reserve Army",2000,36.19
"Reserve Army",2000,36.2
"Reserve Army",2000,36.21
"Reserve Army",2000,36.22
"Reserve Army",2000,36.23
"Reserve Army",2000,36.24
"Reserve Army",2000,36.25
"Reserve Army",2000,36.26
"Reserve Army",2000,36.27
"Reserve Army",2000,36.28
"Reserve Army",2000,36.29
"Reserve Army",2000,36.3
"Reserve Army",2000,36.31
"Reserve Army",2000,36.32
"Reserve Army",2000,36.33
"Reserve Army",2000,36.34
"Reserve Army",2000,36.35
"Reserve Army",2000,36.36
"Reserve Army",2000,36.37
"Reserve Army",2000,36.38
"Reserve Army",2000,36.39
"Reserve Army",2000,36.4
"Reserve Army",2000,36.41
"Reserve Army",2000,36.42
"Reserve Army",2000,36.43
"Reserve Army",2000,36.44
"Reserve Army",2000,36.45
"Reserve Army",2000,36.46
"Reserve Army",2010,36.47
"Reserve Army",2030,36.48
"Reserve Army",2050,36.49
"Reserve Army",2077.29999999996,36.5
"Reserve Army",2100,36.51
"Reserve Army",2100,36.52
"Reserve Army",2100,36.53
"Reserve Army",2100,36.54
"Reserve Army",2100,36.55
"Reserve Army",2100,36.56
"Reserve Army",2100,36.57
"Reserve Army",2100,36.58
"Reserve Army",2100,36.59
"Reserve Army",2100,36.6
"Reserve Army",2100,36.61
"Reserve Army",2100,36.62
"Reserve Army",2100,36.63
"Reserve Army",2100,36.64
"Reserve Army",2100,36.65
"Reserve Army",2100,36.66
"Reserve Army",2100,36.67
"Reserve Army",2100,36.68
"Reserve Army",2100,36.69
"Reserve Army",2105.34,36.7
"Reserve Army",2143.48400000003,36.71
"Reserve Army",2168.14400000003,36.72
"Reserve Army",2190,36.73
"Reserve Army",2200,36.74
"Reserve Army",2200,36.75
"Reserve Army",2200,36.76
"Reserve Army",2200,36.77
"Reserve Army",2200,36.78
"Reserve Army",2200,36.79
"Reserve Army",2200,36.8
"Reserve Army",2200,36.81
